"question","dv","term","n","estimate","conf.low","conf.high","p.value","sig","direction","battery","battery_title"
"cc1_intense_logit","No increase, regardless of implications for issue","trust_inst_fed_bin",2036,-0.072,-0.122,-0.022,0.005,"**","Negative","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","No increase, regardless of implications for issue","trust_inst_prov_bin",2036,-0.03,-0.079,0.019,0.236,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","No increase, regardless of implications for issue","univ_educ_bin",2036,0.002,-0.037,0.041,0.915,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","No increase, regardless of implications for issue","vote_PCC_bin",2036,0.109,0.049,0.169,0,"***","Positive","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","No increase, regardless of implications for issue","vote_PLC_bin",2036,-0.009,-0.066,0.048,0.757,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_lpm","Raise taxes","age18_34_bin",2056,0.002,-0.054,0.058,0.934,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_lpm","Raise taxes","age55plus_bin",2056,-0.065,-0.116,-0.014,0.012,"*","Negative","cc1","Increase childcare spending, how to fund it"
"cc1_pref_lpm","Raise taxes","alberta_bin",2056,0.003,-0.051,0.056,0.925,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_lpm","Raise taxes","children_bin",2056,0.006,-0.037,0.048,0.798,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_lpm","Raise taxes","employ_fulltime_bin",2056,-0.015,-0.06,0.029,0.497,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_lpm","Raise taxes","ideo_define_QC_first_bin",2056,0.019,-0.06,0.099,0.632,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_lpm","Raise taxes","ideo_right_num",2056,-0.122,-0.222,-0.021,0.018,"*","Negative","cc1","Increase childcare spending, how to fund it"
"cc1_pref_lpm","Raise taxes","ideo_vote_fed_left",2056,-0.016,-0.121,0.09,0.77,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_lpm","Raise taxes","ideo_vote_prov_left",2056,0.076,0.018,0.134,0.011,"*","Positive","cc1","Increase childcare spending, how to fund it"
"cc1_pref_lpm","Raise taxes","incomeHigh_bin",2056,-0.016,-0.066,0.034,0.532,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_lpm","Raise taxes","quebec_bin",2056,-0.043,-0.104,0.018,0.164,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_lpm","Raise taxes","region_eastcoast_bin",2056,-0.023,-0.076,0.031,0.408,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_lpm","Raise taxes","ses_male_bin",2056,0.069,0.03,0.107,0.001,"**","Positive","cc1","Increase childcare spending, how to fund it"
"cc1_pref_lpm","Raise taxes","trust_inst_fed_bin",2056,0.049,-0.003,0.101,0.067,".","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_lpm","Raise taxes","trust_inst_prov_bin",2056,0.031,-0.019,0.081,0.226,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_lpm","Raise taxes","univ_educ_bin",2056,0.019,-0.02,0.058,0.337,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_lpm","Raise taxes","vote_PCC_bin",2056,-0.145,-0.2,-0.09,0,"***","Negative","cc1","Increase childcare spending, how to fund it"
"cc1_pref_lpm","Raise taxes","vote_PLC_bin",2056,-0.039,-0.095,0.018,0.18,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_lpm","Cut other spending","age18_34_bin",2058,0.135,0.073,0.196,0,"***","Positive","cc1","Increase childcare spending, how to fund it"
"cc1_pref_lpm","Cut other spending","age55plus_bin",2058,-0.004,-0.062,0.053,0.878,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_lpm","Cut other spending","alberta_bin",2058,-0.011,-0.07,0.047,0.701,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_lpm","Cut other spending","children_bin",2058,0.042,-0.006,0.089,0.085,".","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_lpm","Cut other spending","employ_fulltime_bin",2058,0.03,-0.02,0.079,0.244,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_lpm","Cut other spending","ideo_define_QC_first_bin",2058,-0.013,-0.099,0.073,0.771,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_lpm","Cut other spending","ideo_right_num",2058,-0.055,-0.165,0.056,0.333,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_lpm","Cut other spending","ideo_vote_fed_left",2058,-0.008,-0.12,0.105,0.895,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_lpm","Cut other spending","ideo_vote_prov_left",2058,-0.066,-0.129,-0.002,0.043,"*","Negative","cc1","Increase childcare spending, how to fund it"
"cc1_pref_lpm","Cut other spending","incomeHigh_bin",2058,0.003,-0.053,0.06,0.911,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_lpm","Cut other spending","quebec_bin",2058,-0.024,-0.091,0.043,0.483,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_lpm","Cut other spending","region_eastcoast_bin",2058,-0.015,-0.074,0.043,0.609,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_lpm","Cut other spending","ses_male_bin",2058,-0.065,-0.109,-0.022,0.003,"**","Negative","cc1","Increase childcare spending, how to fund it"
"cc1_pref_lpm","Cut other spending","trust_inst_fed_bin",2058,-0.029,-0.084,0.025,0.294,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_lpm","Cut other spending","trust_inst_prov_bin",2058,-0.001,-0.056,0.054,0.977,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_lpm","Cut other spending","univ_educ_bin",2058,-0.044,-0.088,-0.001,0.044,"*","Negative","cc1","Increase childcare spending, how to fund it"
