"question","dv","term","n","estimate","conf.low","conf.high","p.value","sig","direction","model"
"uc_intense_logit","Childcare: narrow beneficiaries (intense)","children_bin",2032,0.024,-0.008,0.056,0.138,"","No clear effect","Logit AME"
"uc_intense_logit","Childcare: narrow beneficiaries (intense)","employ_fulltime_bin",2032,-0.017,-0.048,0.015,0.301,"","No clear effect","Logit AME"
"uc_intense_logit","Childcare: narrow beneficiaries (intense)","ideo_define_QC_first_bin",2032,0.018,-0.038,0.075,0.529,"","No clear effect","Logit AME"
"uc_intense_logit","Childcare: narrow beneficiaries (intense)","ideo_right_num",2032,-0.013,-0.086,0.06,0.729,"","No clear effect","Logit AME"
"uc_intense_logit","Childcare: narrow beneficiaries (intense)","ideo_vote_fed_left",2032,0.052,-0.018,0.123,0.148,"","No clear effect","Logit AME"
"uc_intense_logit","Childcare: narrow beneficiaries (intense)","ideo_vote_prov_left",2032,-0.007,-0.05,0.036,0.758,"","No clear effect","Logit AME"
"uc_intense_logit","Childcare: narrow beneficiaries (intense)","incomeHigh_bin",2032,-0.014,-0.05,0.022,0.45,"","No clear effect","Logit AME"
"uc_intense_logit","Childcare: narrow beneficiaries (intense)","quebec_bin",2032,0.007,-0.037,0.052,0.742,"","No clear effect","Logit AME"
"uc_intense_logit","Childcare: narrow beneficiaries (intense)","region_eastcoast_bin",2032,-0.041,-0.076,-0.007,0.019,"*","Negative","Logit AME"
"uc_intense_logit","Childcare: narrow beneficiaries (intense)","ses_male_bin",2032,0.018,-0.01,0.047,0.212,"","No clear effect","Logit AME"
"uc_intense_logit","Childcare: narrow beneficiaries (intense)","trust_inst_fed_bin",2032,-0.023,-0.059,0.012,0.204,"","No clear effect","Logit AME"
"uc_intense_logit","Childcare: narrow beneficiaries (intense)","trust_inst_prov_bin",2032,-0.008,-0.046,0.029,0.659,"","No clear effect","Logit AME"
"uc_intense_logit","Childcare: narrow beneficiaries (intense)","univ_educ_bin",2032,-0.012,-0.04,0.017,0.415,"","No clear effect","Logit AME"
"uc_intense_logit","Childcare: narrow beneficiaries (intense)","vote_PCC_bin",2032,-0.012,-0.054,0.029,0.561,"","No clear effect","Logit AME"
"uc_intense_logit","Childcare: narrow beneficiaries (intense)","vote_PLC_bin",2032,-0.018,-0.053,0.017,0.315,"","No clear effect","Logit AME"
"uc_bin_lpm","Home care: broad beneficiaries (first choice)","age18_34_bin",2058,0.015,-0.045,0.076,0.624,"","No clear effect","LPM"
"uc_bin_lpm","Home care: broad beneficiaries (first choice)","age55plus_bin",2058,-0.057,-0.114,0,0.049,"*","No clear effect","LPM"
"uc_bin_lpm","Home care: broad beneficiaries (first choice)","alberta_bin",2058,-0.014,-0.073,0.046,0.651,"","No clear effect","LPM"
"uc_bin_lpm","Home care: broad beneficiaries (first choice)","children_bin",2058,-0.004,-0.051,0.042,0.861,"","No clear effect","LPM"
"uc_bin_lpm","Home care: broad beneficiaries (first choice)","employ_fulltime_bin",2058,0.012,-0.038,0.061,0.645,"","No clear effect","LPM"
"uc_bin_lpm","Home care: broad beneficiaries (first choice)","ideo_define_QC_first_bin",2058,-0.004,-0.09,0.082,0.923,"","No clear effect","LPM"
"uc_bin_lpm","Home care: broad beneficiaries (first choice)","ideo_right_num",2058,0.043,-0.063,0.15,0.427,"","No clear effect","LPM"
"uc_bin_lpm","Home care: broad beneficiaries (first choice)","ideo_vote_fed_left",2058,-0.069,-0.176,0.038,0.209,"","No clear effect","LPM"
"uc_bin_lpm","Home care: broad beneficiaries (first choice)","ideo_vote_prov_left",2058,-0.012,-0.075,0.051,0.705,"","No clear effect","LPM"
"uc_bin_lpm","Home care: broad beneficiaries (first choice)","incomeHigh_bin",2058,0.028,-0.03,0.087,0.343,"","No clear effect","LPM"
"uc_bin_lpm","Home care: broad beneficiaries (first choice)","quebec_bin",2058,-0.017,-0.085,0.051,0.62,"","No clear effect","LPM"
"uc_bin_lpm","Home care: broad beneficiaries (first choice)","region_eastcoast_bin",2058,-0.044,-0.103,0.014,0.136,"","No clear effect","LPM"
"uc_bin_lpm","Home care: broad beneficiaries (first choice)","ses_male_bin",2058,-0.032,-0.074,0.01,0.139,"","No clear effect","LPM"
"uc_bin_lpm","Home care: broad beneficiaries (first choice)","trust_inst_fed_bin",2058,0.052,-0.004,0.107,0.069,".","No clear effect","LPM"
"uc_bin_lpm","Home care: broad beneficiaries (first choice)","trust_inst_prov_bin",2058,-0.023,-0.079,0.033,0.422,"","No clear effect","LPM"
"uc_bin_lpm","Home care: broad beneficiaries (first choice)","univ_educ_bin",2058,0.021,-0.022,0.064,0.336,"","No clear effect","LPM"
"uc_bin_lpm","Home care: broad beneficiaries (first choice)","vote_PCC_bin",2058,0.049,-0.014,0.112,0.127,"","No clear effect","LPM"
"uc_bin_lpm","Home care: broad beneficiaries (first choice)","vote_PLC_bin",2058,0.012,-0.045,0.068,0.686,"","No clear effect","LPM"
