"question","dv","term","n","estimate","conf.low","conf.high","p.value","sig","direction","model"
"intense_logit","Don't spend more on childcare (intense)","employ_fulltime_bin",2036,-0.018,-0.062,0.026,0.416,"","No clear effect","Logit AME"
"intense_logit","Don't spend more on childcare (intense)","ideo_define_QC_first_bin",2036,-0.059,-0.129,0.01,0.095,".","No clear effect","Logit AME"
"intense_logit","Don't spend more on childcare (intense)","ideo_right_num",2036,0.274,0.175,0.373,0,"***","Positive","Logit AME"
"intense_logit","Don't spend more on childcare (intense)","ideo_vote_fed_left",2036,-0.034,-0.141,0.072,0.524,"","No clear effect","Logit AME"
"intense_logit","Don't spend more on childcare (intense)","ideo_vote_prov_left",2036,-0.042,-0.1,0.016,0.157,"","No clear effect","Logit AME"
"intense_logit","Don't spend more on childcare (intense)","incomeHigh_bin",2036,0.08,0.027,0.134,0.003,"**","Positive","Logit AME"
"intense_logit","Don't spend more on childcare (intense)","quebec_bin",2036,0.065,0.003,0.127,0.041,"*","Positive","Logit AME"
"intense_logit","Don't spend more on childcare (intense)","region_eastcoast_bin",2036,0.027,-0.028,0.083,0.336,"","No clear effect","Logit AME"
"intense_logit","Don't spend more on childcare (intense)","ses_male_bin",2036,0.018,-0.021,0.057,0.361,"","No clear effect","Logit AME"
"intense_logit","Don't spend more on childcare (intense)","trust_inst_fed_bin",2036,-0.072,-0.122,-0.022,0.005,"**","Negative","Logit AME"
"intense_logit","Don't spend more on childcare (intense)","trust_inst_prov_bin",2036,-0.03,-0.079,0.019,0.236,"","No clear effect","Logit AME"
"intense_logit","Don't spend more on childcare (intense)","univ_educ_bin",2036,0.002,-0.037,0.041,0.915,"","No clear effect","Logit AME"
"intense_logit","Don't spend more on childcare (intense)","vote_PCC_bin",2036,0.109,0.049,0.169,0,"***","Positive","Logit AME"
"intense_logit","Don't spend more on childcare (intense)","vote_PLC_bin",2036,-0.009,-0.066,0.048,0.757,"","No clear effect","Logit AME"
"intense_logit","Home care: narrow beneficiaries (intense)","age18_34_bin",2034,-0.059,-0.117,-0.002,0.044,"*","Negative","Logit AME"
"intense_logit","Home care: narrow beneficiaries (intense)","age55plus_bin",2034,0.081,0.025,0.137,0.004,"**","Positive","Logit AME"
"intense_logit","Home care: narrow beneficiaries (intense)","alberta_bin",2034,0.031,-0.028,0.089,0.306,"","No clear effect","Logit AME"
"intense_logit","Home care: narrow beneficiaries (intense)","children_bin",2034,-0.015,-0.06,0.03,0.519,"","No clear effect","Logit AME"
"intense_logit","Home care: narrow beneficiaries (intense)","employ_fulltime_bin",2034,-0.022,-0.069,0.025,0.368,"","No clear effect","Logit AME"
"intense_logit","Home care: narrow beneficiaries (intense)","ideo_define_QC_first_bin",2034,0.055,-0.032,0.142,0.212,"","No clear effect","Logit AME"
"intense_logit","Home care: narrow beneficiaries (intense)","ideo_right_num",2034,-0.054,-0.162,0.054,0.327,"","No clear effect","Logit AME"
"intense_logit","Home care: narrow beneficiaries (intense)","ideo_vote_fed_left",2034,0.047,-0.059,0.154,0.382,"","No clear effect","Logit AME"
"intense_logit","Home care: narrow beneficiaries (intense)","ideo_vote_prov_left",2034,0.043,-0.018,0.103,0.167,"","No clear effect","Logit AME"
